gene ;151f_1_10;126f_10_10;96f_11_10;175f_17_10;79f_1_40;100f_10_40;99f_11_40;163f_17_40
Contig2684;2;23;47;9;8;7;9;4
Contig2685;0;0;2;0;0;0;0;0
Contig2686;1;2;1;2;0;0;3;2
Contig2687;0;0;1;1;0;0;0;0
Contig2688;0;0;1;0;0;0;1;0
Contig2690;0;0;1;0;0;0;11;0
Contig2691;0;0;1;0;1;0;0;1
Contig2692;0;1;2;0;0;1;9;0
Contig2694;0;0;1;0;0;1;0;0
Contig2695;0;1;4;6;2;1;3;1
Contig2696;0;0;1;0;1;0;0;0
Contig2697;0;0;2;0;0;0;0;0
Contig2698;0;0;1;0;0;0;1;0
Contig2699;0;0;3;0;0;0;0;0
Contig2700;0;0;2;0;0;0;0;0
Contig2701;0;0;2;0;0;0;0;0
Contig2702;0;0;3;0;0;0;0;0
Contig2703;0;2;2;1;1;1;1;1
Contig2709;0;0;2;0;0;0;0;0
Contig271;1;0;0;1;0;0;0;0
Contig2710;0;0;5;0;0;0;0;0
Contig2711;0;0;2;0;0;0;0;0
Contig2712;0;0;2;0;0;0;0;0
Contig2714;1;0;2;1;1;0;0;0
Contig2715;1;1;3;2;6;1;5;1
Contig2717;0;0;2;0;0;0;0;0
Contig272;1;0;0;0;0;0;0;1
Contig2720;0;0;2;0;0;0;0;0
Contig2721;0;0;1;0;0;1;0;0
Contig2722;0;0;2;0;0;0;0;0
Contig2723;0;0;2;0;0;0;0;0
Contig2724;0;0;1;0;0;0;0;1
Contig2729;0;0;3;0;0;1;0;4
Contig2730;0;0;1;0;0;2;0;2
Contig2731;0;0;2;0;0;0;0;0
Contig2734;0;0;2;0;0;0;0;0
Contig2735;0;0;1;0;0;1;0;0
Contig2737;0;0;5;0;1;0;2;0
Contig2741;0;0;1;0;0;0;0;1
Contig2742;0;0;2;0;0;0;0;0
Contig2744;0;0;1;0;0;0;0;1
Contig2745;1;0;1;0;0;0;0;0
Contig2746;0;0;3;0;1;0;0;0
Contig2748;0;0;3;0;0;1;0;0
Contig275;2;4;1;4;5;14;3;4
Contig2750;0;0;2;1;1;0;0;0
Contig2751;0;0;1;0;0;0;0;1
Contig2752;0;0;1;1;3;1;1;1
Contig2753;0;0;2;0;0;0;0;0
Contig2754;0;0;2;0;0;0;0;0
Contig2756;0;0;1;0;0;0;2;0
Contig2757;0;0;1;0;0;4;1;0
Contig2758;0;0;1;1;0;0;0;0
Contig2759;0;0;1;0;1;0;0;0
Contig2760;0;1;1;0;1;0;1;0
Contig2761;0;0;1;1;0;1;0;0
Contig2762;0;0;2;0;0;0;0;0
Contig2764;0;0;12;0;3;0;3;0
Contig2768;0;2;2;2;4;4;0;2
Contig2770;5;27;42;4;14;6;9;9
Contig2772;4;0;2;2;3;7;3;2
Contig2773;0;0;2;0;0;0;0;0
Contig2774;0;0;5;0;0;0;0;0
Contig2775;0;0;1;1;0;0;0;0
Contig2776;0;0;1;0;0;0;0;1
Contig2777;4;10;16;3;4;2;3;1
Contig2778;0;0;1;0;0;0;0;1
Contig2779;0;0;1;0;0;0;0;2
Contig278;1;0;0;0;0;0;1;0
Contig2782;0;0;1;0;0;0;1;0
Contig2784;0;0;2;1;1;1;0;0
Contig2785;0;1;1;0;0;0;0;0
Contig2786;0;0;2;0;0;0;0;0
Contig2788;0;0;1;0;0;1;0;0
Contig279;1;0;0;0;0;0;1;0
Contig2790;0;0;0;1;0;1;0;0
Contig2791;0;0;0;2;0;0;0;0
Contig2792;0;0;0;4;0;0;0;0
Contig2794;1;0;0;2;0;3;4;0
Contig2795;1;0;0;1;0;0;2;0
Contig2797;0;0;0;1;1;0;0;0
Contig2798;5;3;9;18;5;0;13;6
Contig28;2;0;0;0;0;0;1;0
Contig280;10;0;0;0;0;0;1;0
Contig2800;0;0;0;14;1;2;7;0
Contig2801;0;0;0;1;0;1;0;0
Contig2803;0;0;0;16;21;0;0;0
Contig2804;0;0;0;2;0;0;0;0
Contig2806;0;1;0;37;23;0;0;5
Contig2807;0;3;7;4;12;0;5;6
Contig2808;0;0;0;2;0;0;1;0
Contig2809;3;1;5;14;19;13;19;9
Contig2810;0;0;0;3;0;0;0;0
Contig2811;0;0;0;1;0;0;2;0
Contig2812;1;0;1;6;0;0;3;0
Contig2814;0;0;0;2;0;0;0;0
Contig2816;0;0;0;2;0;0;0;0
Contig2817;0;0;0;2;0;0;0;0
Contig2818;0;0;0;3;1;0;0;0
Contig2819;0;0;0;3;0;0;0;0
Contig2820;0;0;0;1;1;0;0;0
Contig2821;0;0;0;2;1;0;0;0
Contig2822;0;0;0;2;0;1;1;0
Contig2823;3;3;4;6;4;6;13;8
Contig2824;0;0;0;2;0;0;2;0
Contig2825;0;0;1;1;0;0;1;0
Contig2826;2;2;1;9;1;3;0;1
Contig2827;0;0;0;1;0;2;0;0
Contig2829;1;2;2;5;5;4;16;4
Contig2830;0;0;0;7;3;1;8;0
Contig2831;0;0;0;2;0;0;0;0
Contig2832;0;0;0;1;1;0;0;0
Contig2833;0;0;0;1;0;0;1;1
Contig2834;0;0;0;1;1;0;0;0
Contig2835;0;0;0;2;0;0;0;0
Contig2836;0;0;0;1;1;0;0;0
Contig2837;0;0;0;1;0;0;2;0
Contig2838;0;0;0;2;0;0;0;0
Contig2839;0;0;0;2;0;0;0;0
Contig284;3;7;1;5;5;10;28;7
Contig2841;0;0;0;1;0;0;1;1
Contig2844;0;0;0;2;0;0;0;0
Contig2845;0;0;0;2;0;0;0;0
Contig2847;0;0;0;2;0;0;0;0
Contig2848;0;0;0;2;0;0;0;0
Contig2849;2;15;16;36;10;7;17;10
Contig285;1;0;1;0;0;0;0;0
Contig2850;0;0;0;2;1;1;1;2
Contig2851;0;0;0;1;0;1;0;0
Contig2853;0;0;0;1;0;0;0;1
Contig2854;0;0;0;2;0;0;0;0
Contig2855;0;0;0;1;1;0;0;0
Contig2856;0;0;0;1;0;1;0;0
Contig2857;0;0;0;1;0;0;0;2
Contig2859;0;0;0;1;3;0;0;0
Contig286;2;0;0;0;0;0;0;0
Contig2860;0;3;0;1;1;0;0;1
